dimension,term,building_count,building_ratio,occurrence_count
营造技艺,传统修缮,2,0.004878,2
营造技艺,传统合院营造,2,0.004878,2
营造技艺,传统夯筑,2,0.004878,2
营造技艺,传统砌筑,2,0.004878,2
营造技艺,依山就势营造,2,0.004878,2
营造技艺,依山而建,2,0.004878,2
营造技艺,修旧如旧,2,0.004878,2
营造技艺,借景,2,0.004878,2
营造技艺,减柱造,2,0.004878,2
营造技艺,原貌复建,2,0.004878,2
营造技艺,取法自然,2,0.004878,2
营造技艺,叠山理水,2,0.004878,2
营造技艺,吉祥图案雕刻,2,0.004878,2
营造技艺,四合院营造法,2,0.004878,2
营造技艺,圆雕,2,0.004878,2
营造技艺,城垣砌筑,2,0.004878,2
营造技艺,天井院落,2,0.004878,2
营造技艺,天井院落营造,2,0.004878,2
营造技艺,夯土筑城,2,0.004878,2
营造技艺,夯土筑墙,2,0.004878,2
营造技艺,夯筑,2,0.004878,2
营造技艺,官式彩画,2,0.004878,2
营造技艺,官式营造,2,0.004878,2
营造技艺,干栏式营造,2,0.004878,2
营造技艺,平雕,2,0.004878,2
营造技艺,彩画,2,0.004878,2
营造技艺,徽州三雕,2,0.004878,2
营造技艺,收分墙体,2,0.004878,2
营造技艺,斗拱结构,2,0.004878,2
营造技艺,旋子彩画,2,0.004878,2
营造技艺,明代营造法,2,0.004878,2
营造技艺,木构榫卯,2,0.004878,2
营造技艺,木雕工艺,2,0.004878,2
营造技艺,木雕装饰,2,0.004878,2
营造技艺,楼阁营造,2,0.004878,2
营造技艺,江南园林营造,2,0.004878,2
营造技艺,泥塑,2,0.004878,2
营造技艺,石雕装饰,2,0.004878,2
营造技艺,砖券砌筑,2,0.004878,2
营造技艺,砖木结构,2,0.004878,2
营造技艺,砖木结构营造,2,0.004878,2
营造技艺,砖石包砌,2,0.004878,2
营造技艺,砖雕技艺,2,0.004878,2
营造技艺,穿斗式木构架,2,0.004878,2
营造技艺,糯米灰浆砌筑,2,0.004878,2
营造技艺,纵联分节并列砌置法,2,0.004878,2
营造技艺,苏式彩绘,2,0.004878,2
营造技艺,落架维修,2,0.004878,2
营造技艺,起拱技法,2,0.004878,2
营造技艺,防火设计,2,0.004878,2
营造技艺,青砖砌筑,2,0.004878,2
营造技艺,马头墙,2,0.004878,2
建筑功能,一村一屋,1,0.002439,1
建筑功能,三位一体防御,1,0.002439,1
建筑功能,三合院住宅,1,0.002439,1
建筑功能,三堂,1,0.002439,1
建筑功能,三省通衢,1,0.002439,1
建筑功能,上人下畜,1,0.002439,1
建筑功能,下榻场所,1,0.002439,1
建筑功能,中央官学,1,0.002439,1
建筑功能,临时指挥部,1,0.002439,1
建筑功能,主从有序,1,0.002439,1
建筑功能,主厅,1,0.002439,1
建筑功能,义仓,1,0.002439,1
建筑功能,乘凉歇息,1,0.002439,1
建筑功能,习射场所,1,0.002439,1
建筑功能,乡土建筑研究实例,1,0.002439,1
建筑功能,乡土防御建筑,1,0.002439,1
建筑功能,乡试考场,1,0.002439,1
建筑功能,书堂,1,0.002439,1
建筑功能,书屋,1,0.002439,1
建筑功能,书楼,1,0.002439,1
建筑功能,书舍,1,0.002439,1
建筑功能,二堂,1,0.002439,1
建筑功能,五凤楼,1,0.002439,1
建筑功能,五落透后,1,0.002439,1
建筑功能,交通咽喉,1,0.002439,1
建筑功能,交通水利设施,1,0.002439,1
建筑功能,交通节点,1,0.002439,1
建筑功能,交通要津,1,0.002439,1
建筑功能,京畿要道,1,0.002439,1
建筑功能,亭,1,0.002439,1
建筑功能,亭台楼阁复合功能,1,0.002439,1
建筑功能,人文博物馆,1,0.002439,1
建筑功能,人文空间,1,0.002439,1
建筑功能,人畜分居,1,0.002439,1
建筑功能,人畜分道,1,0.002439,1
建筑功能,人车分行桥面,1,0.002439,1
建筑功能,仆役用房,1,0.002439,1
建筑功能,从厝,1,0.002439,1
建筑功能,仓储与生产兼备,1,0.002439,1
建筑功能,仓储建筑,1,0.002439,1
建筑功能,仓储生活区,1,0.002439,1
建筑功能,仓储设施,1,0.002439,1
建筑功能,仓储防御,1,0.002439,1
建筑功能,仓廪,1,0.002439,1
建筑功能,仓房,1,0.002439,1
建筑功能,仪仗庆典场所,1,0.002439,1
建筑功能,休憩场所,1,0.002439,1
建筑功能,休憩聚会空间,1,0.002439,1
建筑功能,休憩遮蔽,1,0.002439,1
建筑功能,休闲娱乐,1,0.002439,1
建筑功能,会客,1,0.002439,1
建筑功能,会客厅,1,0.002439,1
建筑功能,会客楼,1,0.002439,1
建筑功能,住宅楼,1,0.002439,1
建筑功能,佛楼,1,0.002439,1
建筑功能,作坊,1,0.002439,1
建筑功能,侗族立交桥,1,0.002439,1
建筑功能,侨商住宅,1,0.002439,1
建筑功能,信仰场所,1,0.002439,1
建筑功能,停泊船舰,1,0.002439,1
建筑功能,储粮,1,0.002439,1
建筑功能,储粮供水,1,0.002439,1
建筑功能,儒家文化载体,1,0.002439,1
建筑功能,元帅府,1,0.002439,1
建筑功能,先祖圣龛,1,0.002439,1
建筑功能,八厅七井,1,0.002439,1
建筑功能,八防功能,1,0.002439,1
建筑功能,公主府邸,1,0.002439,1
建筑功能,公共交流空间,1,0.002439,1
建筑功能,公共公园,1,0.002439,1
建筑功能,公共展示空间,1,0.002439,1
建筑功能,公共文化空间,1,0.002439,1
建筑功能,公共活动,1,0.002439,1
建筑功能,公厅屋,1,0.002439,1
建筑功能,公租房,1,0.002439,1
建筑功能,公路桥（历史）,1,0.002439,1
建筑功能,关隘防御,1,0.002439,1
建筑功能,内廷,1,0.002439,1
建筑功能,内河运输枢纽,1,0.002439,1
建筑功能,军事司令部旧址,1,0.002439,1
建筑功能,军事大本营,1,0.002439,1
建筑功能,军事屯堡,1,0.002439,1
建筑功能,军事指挥,1,0.002439,1
建筑功能,军事指挥机构,1,0.002439,1
建筑功能,军事机构,1,0.002439,1
建筑功能,军事瞭望,1,0.002439,1
建筑功能,军事要塞,1,0.002439,1
建筑功能,军事辅助功能,1,0.002439,1
建筑功能,军事重镇,1,0.002439,1
建筑功能,军事长官司衙,1,0.002439,1
建筑功能,军事防御体系,1,0.002439,1
建筑功能,军事驻守,1,0.002439,1
建筑功能,军事驻防,1,0.002439,1
建筑功能,军事驻防城,1,0.002439,1
建筑功能,军捕,1,0.002439,1
建筑功能,军政中心,1,0.002439,1
建筑功能,军用师部,1,0.002439,1
建筑功能,农具堆放,1,0.002439,1
建筑功能,减重结构,1,0.002439,1
建筑功能,凭吊场所,1,0.002439,1
建筑功能,刑讯室,1,0.002439,1
建筑功能,创作空间,1,0.002439,1
建筑功能,制高点防御,1,0.002439,1
建筑功能,前厅,1,0.002439,1
建筑功能,前园后宅,1,0.002439,1
建筑功能,前客厅,1,0.002439,1
建筑功能,前衙后邸,1,0.002439,1
建筑功能,办公,1,0.002439,1
建筑功能,办公起居,1,0.002439,1
建筑功能,办公院,1,0.002439,1
建筑功能,功绩表彰,1,0.002439,1
建筑功能,功能分明,1,0.002439,1
建筑功能,医院,1,0.002439,1
建筑功能,千户所驻地,1,0.002439,1
建筑功能,博物院,1,0.002439,1
建筑功能,卧室,1,0.002439,1
建筑功能,卧房,1,0.002439,1
建筑功能,卫城,1,0.002439,1
建筑功能,卫所,1,0.002439,1
建筑功能,卫所城池,1,0.002439,1
建筑功能,卫所遗存,1,0.002439,1
建筑功能,卫队室,1,0.002439,1
建筑功能,危桥限行,1,0.002439,1
建筑功能,厅堂会客,1,0.002439,1
建筑功能,历史价值,1,0.002439,1
建筑功能,历史博物馆,1,0.002439,1
